_id,title,text,query
<dbpedia:Bobbi-Bobbi>,Bobbi-Bobbi,"In myths of the Binbinga people of northern Australia, Bobbi-Bobbi was a supernatural being who lived in the heavens in the Dreamtime. He was a huge snake, similar to the Rainbow Snake, and was originally benevolent towards humans. From the heavens he saw that humans needed more than just water to survive, so he created flying foxes for them to catch and eat.",what was bobbi-bobbi
<dbpedia:Lists_of_Jews>,Lists of Jews,"Jews have contributed to a diverse range of fields, including the sciences, arts, politics, literatures and business.",what is the list of jewish
"<dbpedia:Madison_County,_Mississippi>","Madison County, Mississippi","Madison County is a county located in the state of Mississippi. As of the 2010 census, the population was 95,203. The county seat is Canton. The county is named for U.S. President James Madison.Madison County is part of the Jackson, MS Metropolitan Statistical Area.",what county is madison ms in
"<dbpedia:Marshall_County,_Mississippi>","Marshall County, Mississippi","Marshall County is a county located in the U.S. state of Mississippi. As of the 2010 census, the population was 37,144. Its county seat is Holly Springs. The county is named for Chief Justice of the United States John Marshall.Marshall County is part of the Memphis, TN–MS–AR Metropolitan Statistical Area.",what is marshall county
"<dbpedia:Lee_County,_Mississippi>","Lee County, Mississippi","Lee is a county in Mississippi. As of the 2010 census, the population was 82,910. The county seat is Tupelo. Lee County is included in the Tupelo Micropolitan Statistical Area.",what county is lee in
<dbpedia:Thunder>,Thunder,"Thunder is the sound caused by lightning. Depending on the distance and nature of the lightning, thunder can range from a sharp, loud crack to a long, low rumble (brontide). The sudden increase in pressure and temperature from lightning produces rapid expansion of the air surrounding and within a bolt of lightning. In turn, this expansion of air creates a sonic shock wave, similar to a sonic boom, which produces the sound of thunder, often referred to as a clap, crack, or peal of thunder.",what is the sound caused by lightning
"<dbpedia:Leflore_County,_Mississippi>","Leflore County, Mississippi","Leflore County is a county located in the U.S. state of Mississippi. As of the 2010 census, the population was 32,317. The county seat is Greenwood. The county is named for Choctaw leader Greenwood LeFlore.Leflore County is part of the Greenwood, MS Micropolitan Statistical Area. It is located in the Mississippi Delta region.Leflore County, which is largely rural, is noted for having the highest level of child poverty of any county in the United States.",where is leflore county ms
"<dbpedia:Marion_County,_Mississippi>","Marion County, Mississippi","Marion County is a county located in the U.S. state of Mississippi. As of the 2010 census, the population was 27,088. Its county seat is Columbia. Marion County is named for American Revolutionary War guerrilla leader Francis Marion.","population marion county, ms"
"<dbpedia:Lawrence_County,_Mississippi>","Lawrence County, Mississippi","Lawrence County is a county located in the U.S. state of Mississippi. As of the 2010 census, the population was 12,929. Its county seat is Monticello. The county is named for the naval hero James Lawrence.",what county is monticello ms located in
"<dbpedia:Lowndes_County,_Mississippi>","Lowndes County, Mississippi","Lowndes County is a county located in the U.S. state of Mississippi. As of the 2010 census, the population was 59,779. Its county seat is Columbus. The county is named for U.S. Congressman William Jones Lowndes.Lowndes County comprises the Columbus, MS Micropolitan Statistical Area. Since the late 20th century, it has been designated as one of three counties in the Golden Triangle region of the state.",what county is columbus ms
